Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
24,Kevin Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,2,1,0,1,1,0,1,0.0,1,1,0,1,1,3,0,0,46fa7204
25,Kevin Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,23,14,9,12,2,10,20,50.0,10,12,1,11,6,29,2,0,46fa7204
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,13,9,7,5,1,8,12,66.7,4,11,11,0,18,31,54,0,288e1e13
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,7,4,0,4,3,1,8,12.5,7,9,1,8,3,10,2,0,4d034881
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,36,22,19,15,2,19,28,67.9,9,6,2,4,11,47,21,0,3dd738a1
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,1,1,0,1,0,1,2,50.0,1,2,2,0,1,2,6,0,fe0b8f0e
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,16,12,2,11,3,3,9,33.3,6,6,1,5,15,31,10,0,48b28bfd
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,43,27,30,11,2,13,27,48.1,14,31,14,17,45,88,124,3,18abe173
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,45,24,23,18,4,17,37,45.9,20,24,6,18,41,86,61,0,246d153b
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,11,8,6,4,1,4,24,16.7,20,6,1,5,4,15,10,1,c46fa34c
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,29,22,14,8,7,10,21,47.6,11,14,1,13,18,47,33,0,9b398aea
35,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1997,1.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,2b1c4abd
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,15,10,2,10,3,2,13,15.4,11,11,0,11,2,17,20,0,462475ed
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,38,21,23,14,1,12,20,60.0,8,20,11,9,30,68,61,2,89ac64a6
38,Marley Aké,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,2,2,1,1,0,1,3,33.3,2,0,0,0,1,3,1,0,414e1f69
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,31,21,23,8,0,14,23,60.9,9,40,29,11,36,67,152,0,eaeca114
40,Chadrac Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,16,8,8,6,2,5,12,41.7,7,6,1,5,5,21,5,0,debc2f28
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,24,16,20,4,0,13,24,54.2,11,21,11,10,13,37,48,0,6ec6fde0
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,30,17,14,15,1,16,25,64.0,9,19,10,9,29,59,40,0,05439de2
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,45,26,25,13,7,25,48,52.1,23,13,2,11,23,68,39,3,5314e067
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,6,3,0,4,2,1,8,12.5,7,12,2,10,1,7,9,0,834d0be5
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,20,13,9,7,4,6,27,22.2,21,12,3,9,37,57,40,0,4601e194
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,50,30,21,19,10,27,82,32.9,55,32,1,31,21,71,9,1,5294a83f
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,43,23,27,16,0,18,27,66.7,9,29,21,8,42,85,175,2,4bd414c1
48,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,24,17,10,13,1,9,30,30.0,21,19,2,17,10,34,8,0,b827d5b3
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,3,3,2,1,0,1,7,14.3,6,4,1,3,2,5,10,0,a7a9d95a
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,2,2,0,2,0,1,5,20.0,4,4,1,3,2,4,3,0,a7a9d95a
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,45,26,17,23,5,12,33,36.4,21,12,3,9,45,90,13,1,77e84962
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,61,30,37,20,4,30,63,47.6,33,46,15,31,15,76,41,0,036bba5f
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,40,29,24,13,3,11,24,45.8,13,48,32,16,31,71,172,2,f7d50789
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,36,16,25,9,2,18,43,41.9,25,33,10,23,34,70,59,1,4085f08e
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,1,0,1,0,0,0,0,,0,2,0,2,0,1,0,0,46166b49
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,2,1,1,1,0,1,4,25.0,3,1,0,1,0,2,0,0,6c811eb7
57,Carles Aleñá,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,14,9,5,7,2,3,17,17.6,14,4,1,3,1,15,3,0,6c811eb7
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,3,3,8fa8f8d2
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,55,34,35,17,3,36,78,46.2,42,27,9,18,45,100,84,3,cd1acf9d
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,95adf1e1
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,8,5,0,7,1,2,13,15.4,11,3,0,3,2,10,9,0,bdedd861
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,13,3,7a2e46a8
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,50,27,20,21,9,18,54,33.3,36,19,3,16,16,66,11,1,cc700722
64,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,34,16,11,20,3,13,37,35.1,24,35,3,32,17,51,17,2,cea4ee8f
65,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,60,39,32,20,8,19,52,36.5,33,25,1,24,31,91,25,0,862a1c15
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,28,16,20,6,2,14,33,42.4,19,18,2,16,20,48,32,0,f4290206
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,39,25,26,12,1,23,37,62.2,14,19,3,16,17,56,64,0,0a63446f
68,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,37,22,11,24,2,8,24,33.3,16,16,2,14,17,54,26,1,88d91621
69,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8875b8c9
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,36,19,28,7,1,17,30,56.7,13,33,22,11,62,98,138,2,3ecc11d8
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,17,11,12,5,0,8,13,61.5,5,30,21,9,25,42,150,2,585a73a8
72,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,33,19,20,11,2,17,27,63.0,10,18,3,15,14,47,13,0,ad1f61f3
73,Ibrahim Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,18,11,9,8,1,3,11,27.3,8,8,5,3,16,34,55,1,9260926b
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,16,9,5,9,2,4,11,36.4,7,5,0,5,12,28,6,0,9260926b
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,43,27,18,21,4,21,61,34.4,40,23,9,14,36,79,14,2,d7bf3d19
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,2,1,1,1,0,0,5,0.0,5,2,0,2,0,2,0,0,f3b1d9a2
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,55,29,31,19,5,31,64,48.4,33,27,6,21,56,111,97,0,22721b88
78,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,1997,6.1,7,5,2,2,3,2,7,28.6,5,3,0,3,3,10,3,0,2945f4b7
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,27,21,21,5,1,14,25,56.0,11,14,7,7,18,45,56,0,bcc81786
80,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,26,16,7,15,4,16,34,47.1,18,12,2,10,14,40,8,1,555d5edd
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,5,4,3,2,0,1,1,100.0,0,3,1,2,1,6,3,0,10b9fa99
82,Opoku Ampomah,gh GHA,FWMF,Düsseldorf,de Bundesliga,23,1996,5.6,9,4,3,4,2,3,12,25.0,9,3,0,3,4,13,5,0,e7199efb
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,58,36,26,21,11,26,55,47.3,29,29,10,19,31,89,15,1,5a2cb25d
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,17,9,15,2,0,7,19,36.8,12,16,12,4,10,27,74,2,e34fc66d
85,Djavan Anderson,nl NED,FWDF,Lazio,it Serie A,24,1995,1.9,0,0,0,0,0,0,0,,0,1,0,1,3,3,3,0,ca241ad3
86,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,46,32,20,21,5,11,47,23.4,36,19,1,18,22,68,11,0,9f1893b9
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,20,10,0,12,8,4,19,21.1,15,19,3,16,5,25,36,0,b4cf5806
88,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,0.8,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,1,0,dc008610
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,72,44,31,35,6,29,74,39.2,45,32,9,23,59,131,40,1,ef9c1c95
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,fe471a89
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,52,27,28,18,6,19,60,31.7,41,27,7,20,47,99,36,0,e0b113a7
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,23,18,11,11,1,11,24,45.8,13,9,2,7,8,31,5,0,d8992b84
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1,0,0,1,0,1,10,10.0,9,4,0,4,2,3,4,0,b35db3f6
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,54,31,26,25,3,26,43,60.5,17,23,7,16,33,87,61,1,3024e383
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,2,011d8c56
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,5,2,3,1,1,5,7,71.4,2,1,0,1,9,14,15,0,30941e96
97,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,22,1997,12.2,15,9,7,5,3,5,15,33.3,10,14,1,13,19,34,24,0,30941e96
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,b105919e
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,16,4,7,7,2,4,13,30.8,9,19,5,14,9,25,25,1,df525574
100,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,19.6,37,25,24,7,6,19,34,55.9,15,23,3,20,14,51,20,4,bbafc0c4
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,38d9ce53
102,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,29,1990,19.6,13,9,5,4,4,4,14,28.6,10,17,2,15,9,22,5,0,ac05f970
103,Antoñito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,26,18,19,7,0,12,20,60.0,8,9,0,9,15,41,20,1,dbe519cf
104,Mirko Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,4,3,1,0,3,3,3,100.0,0,2,0,2,2,6,1,0,91976866
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,3e4f735d
106,Christopher Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,25,16,13,9,3,9,33,27.3,24,29,2,27,15,40,14,0,0a3f6cde
107,Anuar,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,4,2,1,2,1,2,6,33.3,4,7,3,4,5,9,0,0,c93231dc
108,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,21,1998,21.7,28,12,6,18,4,10,35,28.6,25,15,1,14,13,41,11,0,a5db0bec
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,3,2,1,2,0,2,4,50.0,2,3,0,3,0,3,0,0,b94b8be1
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,58,35,32,20,6,28,52,53.8,24,9,3,6,23,81,34,0,feb5d3ab
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,72,33,24,40,8,31,69,44.9,38,52,5,47,43,115,40,2,58afe001
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,4,4,1,3,0,3,5,60.0,2,0,0,0,2,6,0,0,2b15a82a
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,56,37,19,29,8,27,74,36.5,47,27,6,21,22,78,21,1,56413b1f
114,Luiz Araújo,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,20,11,3,8,9,5,31,16.1,26,14,0,14,4,24,6,0,fa18c72e
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,44,27,35,8,1,22,36,61.1,14,26,18,8,52,96,142,0,27a013f7
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,3,2,2,1,0,1,1,100.0,0,6,2,4,0,3,9,0,2bef2bca
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,33,20,23,8,2,16,34,47.1,18,20,4,16,29,62,82,0,850c0a0d
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2f965a72
119,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,2f965a72
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,36,24,20,12,4,10,18,55.6,8,12,7,5,19,55,20,1,fdd60087
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,2f7407fa
122,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,1992,19.1,32,19,19,11,2,9,38,23.7,29,22,4,18,11,43,23,1,97333cf5
123,José Arnaiz,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,3,2,0,2,1,0,12,0.0,12,7,0,7,5,8,5,0,46e07328
124,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,1995,3.7,3,0,1,2,0,2,5,40.0,3,4,0,4,2,5,1,0,46e07328
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,42,24,15,23,4,16,62,25.8,46,25,6,19,25,67,35,0,86e119e0
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,7,2,28d596a0
127,Kwadwo Asamoah,gh GHA,DFFW,Inter,it Serie A,30,1988,7.1,10,8,4,5,1,6,14,42.9,8,8,1,7,9,19,13,0,089550f5
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,26,13,15,11,0,11,28,39.3,17,13,2,11,16,42,13,0,e26fcca3
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,15,1,9f0ea33f
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,4,3,3,1,0,1,4,25.0,3,2,0,2,1,5,4,0,45af8a54
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,1,1,1,0,0,0,0,,0,1,0,1,1,2,0,0,a69cc629
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,29,19,7,9,13,12,45,26.7,33,16,1,15,22,51,7,0,7dcf86f6
133,Roger Assalé,ci CIV,FWMF,Leganés,es La Liga,25,1993,5.9,3,2,1,0,2,1,9,11.1,8,8,0,8,0,3,1,0,5d5219b1
134,Youcef Atal,dz ALG,FWDF,Nice,fr Ligue 1,23,1996,11.1,24,11,15,6,3,13,31,41.9,18,12,1,11,24,48,11,1,6a827d8e
135,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,1999,0.3,1,1,0,1,0,1,2,50.0,1,1,1,0,2,3,1,0,12eda7be
136,Christian Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,27,1992,8.3,10,8,5,5,0,5,14,35.7,9,19,0,19,5,15,9,0,8816329f
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,31,19,10,12,9,12,51,23.5,39,39,1,38,14,45,16,0,d5dd5f1f
138,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,21,1,649b01d8
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,14,9,6,3,5,5,7,71.4,2,8,0,8,15,29,21,1,3cd3b384
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,3,0,1,2,0,1,6,16.7,5,2,0,2,3,6,0,0,97bfa797
141,Ludwig Augustinsson,se SWE,DFMF,Werder Bremen,de Bundesliga,25,1994,10.3,29,12,15,9,5,12,23,52.2,11,19,5,14,10,39,29,0,9fec8860
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,93,69,58,27,8,39,69,56.5,30,38,6,32,47,140,98,2,5c2b4f07
143,Mathias Autret,fr FRA,MFFW,Brest,fr Ligue 1,28,1991,13.6,23,17,5,11,7,8,25,32.0,17,14,1,13,10,33,3,0,7dfbba27
144,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,17,12,6,7,4,6,18,33.3,12,12,0,12,3,20,5,0,253a06b9
145,Javier Avilés,es ESP,MFFW,Leganés,es La Liga,21,1997,2.0,9,7,2,7,0,2,4,50.0,2,3,0,3,3,12,1,0,53ddba36
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,34,22,29,5,0,16,27,59.3,11,26,15,11,28,62,73,1,70d8e84c
147,Taiwo Awoniyi,ng NGA,FWMF,Mainz 05,de Bundesliga,21,1997,5.4,2,0,0,2,0,0,4,0.0,4,4,2,2,2,4,3,0,e5478b87
148,Florian Ayé,fr FRA,FWMF,Brescia,it Serie A,22,1997,15.3,17,9,9,5,3,6,13,46.2,7,17,2,15,4,21,18,1,718b8afd
149,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,27,1991,35.0,48,30,10,22,16,17,49,34.7,32,29,4,25,15,63,21,0,da052c14
150,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,38,25,26,11,1,20,37,54.1,17,28,15,13,45,83,72,1,2200181e
151,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,11,8,2,8,1,7,19,36.8,12,8,2,6,19,30,11,1,0cc474e7
152,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,86,56,40,32,14,35,69,50.7,34,56,21,35,67,153,94,0,53cad200
153,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,27,15,13,12,2,10,22,45.5,12,9,3,6,17,44,20,0,d3ce9f1f
154,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,59,37,26,29,4,20,70,28.6,50,31,8,23,39,98,42,0,bfd381b3
155,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,12,8,2,6,4,1,7,14.3,6,12,3,9,3,15,34,0,422ec08a
156,Carlos Bacca,co COL,FW,Villarreal,es La Liga,32,1986,7.6,5,1,1,2,2,2,6,33.3,4,4,0,4,0,5,7,0,09a9e921
157,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,29,17,10,16,3,15,50,30.0,35,21,3,18,45,74,34,1,e8c930bb
158,Matthias Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,3489184e
159,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,18,2001,15.7,18,12,12,5,1,6,12,50.0,6,20,11,9,27,45,57,1,06df8256
160,Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3deb2342
161,Alex Baena,es ESP,MF,Villarreal,es La Liga,18,2001,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,518f2234
162,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,7,4,1,2,4,1,7,14.3,6,4,1,3,2,9,2,0,5046b7d4
163,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,33,17,14,14,5,15,43,34.9,28,19,7,12,58,91,27,0,f261abcb
164,Leon Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,21,1997,12.1,6,3,1,5,0,6,16,37.5,10,9,0,9,8,14,3,0,3a233281
165,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,0,0,0,0,0,0,1,0.0,1,3,3,0,4,4,7,1,a1232f4e
166,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,21,14,15,6,0,9,9,100.0,0,13,10,3,28,49,66,0,5065d67d
