Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,64,2.30,34,23,4,2,1,0,5,0.18,3,1,1,0,0,0,5f09991f
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,64,1.78,47,2,6,3,4,2,3,0.08,2,0,0,0,1,0,774cf58b
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,23,0.82,16,0,1,4,2,0,1,0.04,1,0,0,0,0,0,32c2d95f
4,Suleiman Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,4,2.29,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,abf0cad0
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,53,2.63,30,16,1,3,1,2,4,0.20,2,1,0,1,0,0,a4c3f7af
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,19,2.74,12,0,1,1,4,1,2,0.29,1,0,0,0,1,0,469d3d84
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,13,0.69,12,0,0,1,0,0,1,0.05,1,0,0,0,0,0,565bf0da
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,56,2.28,37,0,4,10,2,3,9,0.37,4,0,2,2,1,0,f586779e
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,10,1.35,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,1c08a3c8
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,37,1.05,34,0,0,2,1,0,5,0.14,5,0,0,0,0,0,b96b595c
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,29,2.35,18,0,4,3,3,1,6,0.49,3,0,1,0,2,0,f2bf1b0f
12,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,10.6,19,1.79,14,1,0,2,2,0,2,0.19,1,0,0,0,1,0,2b09d998
13,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,21,2.53,18,0,0,1,2,0,5,0.60,4,0,0,0,1,0,22919e97
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,65d62814
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,7,3.35,4,0,0,1,2,0,0,0.00,0,0,0,0,0,0,3ed84b2c
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,1,0.39,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,ce5b170a
17,Amine Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,dcfb17f4
18,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,45,3.97,29,5,5,2,2,2,7,0.62,3,1,2,1,0,0,26777636
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,f76e6b4e
20,Aritz Aduriz,es ESP,FWMF,Athletic Club,es La Liga,38,1981,2.3,2,0.87,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,293211e1
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,34,1.70,24,4,3,1,2,0,0,0.00,0,0,0,0,0,0,073b1b37
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,25,1.07,18,2,3,0,2,0,3,0.13,3,0,0,0,0,0,355c883a
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,2,2.65,2,0,0,0,0,0,1,1.32,1,0,0,0,0,0,8bc8829a
24,Kevin Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,7,9.84,4,0,3,0,0,0,1,1.41,1,0,0,0,0,0,46fa7204
25,Kevin Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,31,4.20,24,0,5,0,1,1,1,0.14,1,0,0,0,0,0,46fa7204
