Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,-9999
24,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-098,1999,3,0,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.07,0.14,0.22,0.07,0.22,cb6d81b3
25,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-247,1996,14,9,837,9.3,0,2,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.3,0.3,0.9,1.2,0.03,0.10,0.13,0.03,0.13,014aa7bd
26,Kevin Agudelo,co COL,MF,Spezia,it Serie A,24-050,1998,15,11,977,10.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.2,1.8,0.05,0.11,0.17,0.05,0.17,46fa7204
27,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26-279,1996,1,0,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.06,0.12,0.07,0.12,288e1e13
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-252,1993,9,5,418,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,3dd738a1
29,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20-280,2002,15,15,1231,13.7,2,0,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15,0.8,0.8,0.6,1.4,0.06,0.04,0.10,0.06,0.10,a6c58494
30,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18-318,2004,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,22396615
31,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28-289,1994,14,7,624,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.3,0.07,0.11,0.18,0.07,0.18,48b28bfd
32,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-096,1995,15,15,1350,15.0,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.0,0.5,0.03,0.00,0.04,0.03,0.04,18abe173
33,Ola Aina,ng NGA,DF,Torino,it Serie A,26-087,1996,10,7,580,6.4,1,0,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16,0.6,0.6,0.9,1.5,0.10,0.13,0.23,0.10,0.23,246d153b
34,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,21-211,2001,12,7,717,8.0,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.6,0.6,1.0,1.6,0.07,0.12,0.20,0.07,0.20,9b398aea
35,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-009,2000,13,11,967,10.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.02,0.04,0.05,0.02,0.05,d810c13b
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-261,1998,6,6,502,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,a8c0acb7
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,28-312,1994,12,8,688,7.6,1,0,0,1,1,1,0,0.13,0.00,0.13,0.00,0.00,3.3,2.6,0.6,3.2,0.44,0.08,0.52,0.34,0.42,462475ed
38,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-168,1995,10,10,881,9.8,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.1,0.6,0.05,0.01,0.07,0.05,0.07,89ac64a6
39,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27-319,1995,10,9,751,8.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,eaeca114
40,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-018,1997,15,15,1350,15.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.8,1.7,0.06,0.05,0.11,0.06,0.11,06efa9dc
41,Maghnes Akliouche,fr FRA,MFDF,Monaco,fr Ligue 1,20-312,2002,6,3,248,2.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.06,0.10,0.17,0.06,0.17,b625b241
42,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-014,1997,6,2,238,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,31f5b89b
43,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-084,1992,6,1,204,2.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.08,0.10,0.02,0.10,fdf4b948
44,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-259,1995,13,8,836,9.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.04,0.03,0.07,0.04,0.07,6ec6fde0
45,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-193,1992,15,14,1255,13.9,1,3,1,0,0,3,0,0.07,0.22,0.29,0.07,0.29,0.5,0.5,0.7,1.3,0.04,0.05,0.09,0.04,0.09,05439de2
46,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23-349,1999,4,2,223,2.5,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,99ea2ddd
47,Lucas Alario,ar ARG,FW,Eint Frankfurt,de Bundesliga,30-087,1992,10,2,239,2.7,1,0,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,1.2,1.2,0.0,1.3,0.47,0.01,0.48,0.47,0.48,834d0be5
