Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,-9999
602,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-160,1997,15,15,1350,15.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,4e0c8d66
603,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-152,1993,15,15,1338,14.9,0,2,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.9,0.9,2.6,3.4,0.06,0.17,0.23,0.06,0.23,230a2fac
604,Ángel Di María,ar ARG,FW,Juventus,it Serie A,34-323,1988,7,3,247,2.7,1,1,1,0,0,0,1,0.36,0.36,0.73,0.36,0.73,0.4,0.4,0.5,0.9,0.14,0.18,0.33,0.14,0.33,19cda00b
605,Boulaye Dia,sn SEN,FW,Salernitana,it Serie A,26-048,1996,14,10,956,10.6,6,2,6,0,0,1,0,0.56,0.19,0.75,0.56,0.75,3.5,3.5,1.1,4.7,0.33,0.11,0.44,0.33,0.44,244bc2c8
606,Moussa Diaby,fr FRA,FW,Leverkusen,de Bundesliga,23-180,1999,15,15,1251,13.9,6,3,6,0,1,1,0,0.43,0.22,0.65,0.43,0.65,5.6,4.8,4.1,8.9,0.40,0.30,0.70,0.34,0.64,aeed5c06
607,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-015,1996,11,11,881,9.8,2,0,2,0,0,5,1,0.20,0.00,0.20,0.20,0.20,1.2,1.2,0.1,1.3,0.12,0.01,0.13,0.12,0.13,d2110326
608,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,21-362,2001,16,14,1293,14.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,1.0,0.04,0.03,0.07,0.04,0.07,1bfb6fef
609,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-064,2003,3,1,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.00,0.14,0.14,0.14,d8c19a60
610,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,26-244,1996,5,5,436,4.8,1,0,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,0.4,0.4,0.1,0.5,0.08,0.02,0.10,0.08,0.10,fc62f087
611,Baila Diallo,fr FRA,DF,Clermont Foot,fr Ligue 1,21-193,2001,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,fb55f63a
612,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-199,1995,17,14,1234,13.7,7,0,6,1,1,0,0,0.51,0.00,0.51,0.44,0.44,5.2,4.4,1.6,5.9,0.38,0.11,0.49,0.32,0.43,6605d143
613,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,23-301,1999,10,7,495,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.01,0.03,0.03,0.03,11ff3d56
614,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,25-339,1997,14,12,1106,12.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.00,0.02,0.02,0.00,0.02,b3244eeb
615,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-191,2000,2,1,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.20,0.00,0.20,0.20,0.20,80211dc5
616,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,19-000,2004,11,6,580,6.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.06,0.03,0.09,0.06,0.09,6d0fe035
617,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-054,2000,13,6,653,7.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.02,0.04,0.02,0.04,698f11e3
618,Stéphane Diarra,fr FRA,FW,Lorient,fr Ligue 1,24-025,1998,15,9,651,7.2,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,1.5,1.5,0.9,2.4,0.20,0.13,0.33,0.20,0.33,29939a1d
619,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-234,1997,12,9,873,9.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.8,0.06,0.02,0.08,0.06,0.08,31c69ef1
620,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,23-312,1999,14,9,945,10.5,1,0,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,2.0,2.0,1.0,2.9,0.19,0.09,0.28,0.19,0.28,8104e41e
621,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-195,1993,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,f41a69e6
622,Brahim Díaz,es ESP,MFFW,Milan,it Serie A,23-153,1999,13,10,657,7.3,4,1,4,0,0,2,0,0.55,0.14,0.68,0.55,0.68,2.2,2.2,1.8,4.0,0.31,0.25,0.55,0.31,0.55,407feb71
623,Luis Díaz,co COL,FW,Liverpool,eng Premier League,25-355,1997,8,7,613,6.8,3,2,3,0,0,2,0,0.44,0.29,0.73,0.44,0.73,1.7,1.7,1.0,2.7,0.26,0.15,0.40,0.26,0.40,4a1a9578
624,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,22-286,2000,8,1,164,1.8,1,0,1,0,0,1,0,0.55,0.00,0.55,0.55,0.55,1.4,1.4,0.1,1.5,0.78,0.03,0.81,0.78,0.81,40774c6b
625,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,28-353,1994,16,15,1375,15.3,2,0,2,0,0,1,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.7,1.5,0.05,0.05,0.10,0.05,0.10,ac861941
626,Florian Dietz,de GER,FW,Köln,de Bundesliga,24-153,1998,11,4,395,4.4,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,2.5,2.5,0.3,2.8,0.57,0.07,0.64,0.57,0.64,8779ddf8
627,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29-167,1993,12,11,991,11.0,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.2,0.2,1.1,1.3,0.02,0.10,0.12,0.02,0.12,1b84dbe1
628,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-054,1997,15,13,1043,11.6,3,0,3,0,0,0,0,0.26,0.00,0.26,0.26,0.26,1.1,1.1,3.0,4.1,0.10,0.26,0.36,0.10,0.36,970b8574
629,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-009,1993,14,14,1260,14.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,fc70e345
630,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,de Bundesliga,22-043,2000,10,7,711,7.9,2,1,2,0,0,1,0,0.25,0.13,0.38,0.25,0.38,1.7,1.7,1.4,3.1,0.22,0.17,0.39,0.22,0.39,95bb6ddc
631,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,31-320,1991,8,0,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.16,0.23,0.39,0.16,0.39,92b56413
632,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,21-021,2001,3,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.07,0.19,0.12,0.19,4ccd8957
633,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-269,2001,7,6,545,6.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.01,0.03,0.03,0.03,6de23ab0
634,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,30-014,1992,8,5,437,4.9,1,0,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,1.7,1.7,0.3,2.1,0.35,0.07,0.42,0.35,0.42,4be0b467
635,Issa Diop,fr FRA,DF,Fulham,eng Premier League,25-359,1997,10,8,778,8.6,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.0,0.3,0.03,0.00,0.04,0.03,0.04,a712ca2b
636,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-208,2000,9,5,498,5.5,0,3,0,0,0,1,0,0.00,0.54,0.54,0.00,0.54,0.7,0.7,0.8,1.5,0.12,0.15,0.27,0.12,0.27,19053e31
637,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-208,2000,1,1,65,0.7,1,0,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38,1.0,1.0,0.1,1.1,1.40,0.11,1.51,1.40,1.51,19053e31
638,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-048,1999,10,10,900,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,eedea60b
639,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,24-298,1998,17,16,1460,16.2,1,3,1,0,1,2,0,0.06,0.18,0.25,0.06,0.25,1.8,1.0,0.9,1.9,0.11,0.06,0.17,0.06,0.12,ad82197c
640,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,es La Liga,21-083,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.61,0.00,0.61,0.61,0.61,a461f098
641,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-269,2000,16,15,1285,14.3,2,0,2,0,0,5,0,0.14,0.00,0.14,0.14,0.14,0.9,0.9,0.0,1.0,0.06,0.00,0.07,0.06,0.07,b2336681
642,Djené,tg TOG,DF,Getafe,es La Liga,31-003,1991,13,13,1086,12.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,a4971d84
643,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-202,1998,11,6,571,6.3,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,0.1,0.1,0.2,0.3,0.02,0.03,0.05,0.02,0.05,254147d4
644,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-034,1992,13,12,1074,11.9,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,933d3b51
645,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-147,1994,16,16,1359,15.1,1,1,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,1.0,1.0,0.3,1.3,0.07,0.02,0.09,0.07,0.09,43e7a164
646,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,29-318,1993,5,3,342,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,6eee05f1
647,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,30-344,1992,3,2,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,ac295d9e
648,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-053,2005,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,733f1a7d
649,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,24-201,1998,15,13,1069,11.9,2,2,2,0,0,2,0,0.17,0.17,0.34,0.17,0.34,2.8,2.8,1.6,4.4,0.24,0.13,0.37,0.24,0.37,d01bbb6f
650,Dodô,br BRA,DF,Fiorentina,it Serie A,24-047,1998,12,11,868,9.6,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,b5f7d10b
651,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-187,1998,6,6,534,5.9,1,1,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,0.2,0.2,0.1,0.3,0.03,0.01,0.04,0.03,0.04,f67c9d29
652,Matt Doherty,ie IRL,DFMF,Tottenham,eng Premier League,30-352,1992,10,5,520,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.08,0.04,0.12,0.08,0.12,d557d734
653,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-230,2002,9,5,498,5.5,2,1,2,0,0,0,0,0.36,0.18,0.54,0.36,0.54,1.2,1.2,0.3,1.5,0.22,0.06,0.28,0.22,0.28,2f69d881
654,Jeremy Doku,be BEL,FWMF,Rennes,fr Ligue 1,20-221,2002,10,1,271,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,1.1,0.21,0.14,0.35,0.21,0.35,fffea3e5
655,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,25-089,1997,4,2,197,2.2,0,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.0,0.0,0.4,0.4,0.02,0.18,0.20,0.02,0.20,cc83b74d
656,Carlos Dominguez,es ESP,MF,Celta Vigo,es La Liga,21-326,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,3521abfe
657,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24-189,1998,13,11,964,10.7,1,1,1,0,0,3,0,0.09,0.09,0.19,0.09,0.19,0.8,0.8,0.7,1.5,0.07,0.06,0.14,0.07,0.14,20b3a502
658,John Donald,es ESP,DF,Elche,es La Liga,22-126,2000,3,2,150,1.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,5e95c000
659,Giulio Donati,it ITA,DF,Monza,it Serie A,32-332,1990,4,2,212,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,22051fbe
660,Kyliane Dong,fr FRA,DFMF,Troyes,fr Ligue 1,18-098,2004,3,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.00,0.09,0.09,0.09,836dc4a8
661,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,23-312,1999,17,17,1530,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,08f5afaa
662,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,25-015,1997,16,16,1440,16.0,2,0,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,2.7,2.7,0.2,2.9,0.17,0.01,0.18,0.17,0.18,67ac5bb8
663,Jodel Dossou,bj BEN,MFDF,Clermont Foot,fr Ligue 1,30-292,1992,9,2,258,2.9,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.4,0.4,0.2,0.6,0.15,0.05,0.21,0.15,0.21,a1dbfcb1
664,Lohann Doucet,fr FRA,MFFW,Nantes,fr Ligue 1,20-111,2002,6,0,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.07,0.22,0.29,0.07,0.29,dff0c299
665,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,30-002,1993,9,2,195,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,02b29014
666,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,22-360,2000,14,14,1136,12.6,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,1.1,1.6,0.04,0.08,0.13,0.04,0.13,ce4f40c7
667,Ckene Doucouré,km COM,FWMF,Lorient,fr Ligue 1,20-270,2002,4,0,45,0.5,0,1,0,0,0,0,0,0.00,2.00,2.00,0.00,2.00,0.1,0.1,0.2,0.3,0.30,0.38,0.68,0.30,0.68,92d90c8f
668,Désiré Doué,fr FRA,MFFW,Rennes,fr Ligue 1,17-214,2005,11,3,403,4.5,2,0,2,0,0,3,0,0.45,0.00,0.45,0.45,0.45,0.7,0.7,0.3,1.0,0.15,0.06,0.21,0.15,0.21,9e7483ff
669,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,19-163,2003,8,6,571,6.3,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,0.0,0.0,0.3,0.3,0.01,0.04,0.05,0.01,0.05,0512a60a
670,Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,19-319,2003,15,9,734,8.2,1,1,0,1,1,0,0,0.12,0.12,0.25,0.00,0.12,3.0,2.2,1.4,3.6,0.36,0.17,0.54,0.27,0.44,9226aa22
671,Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,26-101,1996,15,15,1222,13.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.3,1.8,0.04,0.09,0.13,0.04,0.13,9daeac61
672,Flynn Downes,eng ENG,MF,West Ham,eng Premier League,23-348,1999,6,3,265,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.08,0.02,0.10,0.08,0.10,69fdb896
673,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,25-137,1997,14,14,1212,13.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,085e71a7
674,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,21-026,2001,1,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,e0d1510a
675,Dominick Drexler,de GER,MFFW,Schalke 04,de Bundesliga,32-222,1990,12,10,726,8.1,2,3,2,0,0,2,1,0.25,0.37,0.62,0.25,0.62,1.3,1.3,1.5,2.8,0.17,0.18,0.35,0.17,0.35,809940aa
676,Domingos Duarte,pt POR,DF,Getafe,es La Liga,27-299,1995,14,14,1215,13.5,0,2,0,0,0,5,0,0.00,0.15,0.15,0.00,0.15,0.6,0.6,0.7,1.3,0.04,0.05,0.09,0.04,0.09,93090f69
677,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,28-302,1994,15,15,1302,14.5,3,3,3,0,1,1,0,0.21,0.21,0.41,0.21,0.41,5.5,4.7,2.6,7.3,0.38,0.18,0.56,0.32,0.50,638a4d71
678,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,28-029,1994,13,9,689,7.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,1.4,0.10,0.09,0.18,0.10,0.18,79ca3e23
679,Shane Duffy,ie IRL,FWDF,Fulham,eng Premier League,31-002,1992,4,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,7314bba4
680,Rémy Dugimont,fr FRA,FWMF,Auxerre,fr Ligue 1,36-186,1986,10,0,108,1.2,0,1,0,0,0,1,0,0.00,0.83,0.83,0.00,0.83,0.1,0.1,0.3,0.4,0.10,0.23,0.33,0.10,0.33,6d7ede84
681,Denzel Dumfries,nl NED,DF,Inter,it Serie A,26-260,1996,15,13,1079,12.0,1,2,1,0,0,2,0,0.08,0.17,0.25,0.08,0.25,2.4,2.4,3.3,5.7,0.20,0.27,0.47,0.20,0.47,481c9ece
682,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,29-299,1993,9,2,285,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,528492ea
683,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31-043,1991,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.05,0.00,0.06,0.05,0.06,282f75f3
684,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,29-305,1993,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0e12089d
685,Pablo Durán,es ESP,MFDF,Celta Vigo,es La Liga,21-343,2001,4,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,6db116ec
686,Hugo Duro,es ESP,FW,Valencia,es La Liga,23-054,1999,11,4,403,4.5,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,1.7,1.7,0.4,2.1,0.38,0.09,0.48,0.38,0.48,37e103f8
687,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25-175,1997,16,12,1208,13.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.02,0.05,0.07,0.02,0.07,0cbc8baa
688,Paulo Dybala,ar ARG,MF,Roma,it Serie A,29-049,1993,9,8,597,6.6,5,2,4,1,1,2,0,0.75,0.30,1.06,0.60,0.90,4.0,3.2,2.5,5.7,0.61,0.38,0.99,0.49,0.87,e0921a4f
689,Edin Džeko,ba BIH,FW,Inter,it Serie A,36-292,1986,15,10,935,10.4,6,2,6,0,0,1,0,0.58,0.19,0.77,0.58,0.77,6.0,6.0,2.1,8.1,0.58,0.20,0.78,0.58,0.78,3bb7f478
690,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,eng Premier League,19-121,2003,3,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,fa9fa773
691,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,20-154,2002,2,0,10,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.67,0.00,0.67,0.67,0.67,dbfa4f16
692,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,23-298,1999,13,7,767,8.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,9ba7b4fa
693,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,27-018,1995,6,4,403,4.5,0,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,0.1,0.1,0.0,0.2,0.03,0.01,0.04,0.03,0.04,6af30900
694,Ederson,br BRA,GK,Manchester City,eng Premier League,29-139,1993,16,16,1440,16.0,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02,3bb7b8b4
695,Éderson,br BRA,MFFW,Atalanta,it Serie A,23-180,1999,13,8,740,8.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,1.3,2.4,0.13,0.16,0.30,0.13,0.30,a9202def
696,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,24-352,1998,14,9,784,8.7,3,2,3,0,0,3,0,0.34,0.23,0.57,0.34,0.57,2.4,2.4,0.8,3.2,0.27,0.09,0.37,0.27,0.37,0562b7f1
697,Samuel Edozie,eng ENG,FWMF,Southampton,eng Premier League,19-340,2003,10,2,318,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.19,0.06,0.26,0.19,0.26,007414dd
698,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,26-026,1996,14,11,1019,11.3,0,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.4,0.4,0.5,0.9,0.04,0.04,0.08,0.04,0.08,beb882a8
699,Lilian Egloff,de GER,MFFW,Stuttgart,de Bundesliga,20-136,2002,9,2,236,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.14,0.15,0.29,0.14,0.29,2f7fec15
700,Íñigo Eguaras,es ESP,MF,Almería,es La Liga,30-302,1992,12,6,510,5.7,1,1,1,0,0,2,0,0.18,0.18,0.35,0.18,0.35,0.9,0.9,0.5,1.4,0.15,0.09,0.24,0.15,0.24,3e93f8cf
701,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27-223,1995,11,2,347,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.04,0.04,0.08,0.04,0.08,76b2817e
702,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27-223,1995,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,76b2817e
703,Chidera Ejuke,ng NGA,FWMF,Hertha BSC,de Bundesliga,25-001,1998,15,9,790,8.8,0,3,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,1.4,1.4,1.1,2.5,0.16,0.13,0.29,0.16,0.29,e7f3e8a7
704,Albin Ekdal,se SWE,MF,Spezia,it Serie A,33-159,1989,11,5,495,5.5,0,1,0,0,0,3,1,0.00,0.18,0.18,0.00,0.18,0.6,0.6,0.5,1.2,0.12,0.10,0.21,0.12,0.21,f503ea63
705,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20-197,2002,11,4,372,4.1,2,2,2,0,0,0,0,0.48,0.48,0.97,0.48,0.97,1.5,1.5,0.6,2.2,0.37,0.15,0.52,0.37,0.52,5b92d896
706,Emmanuel Ekong,se SWE,FWMF,Empoli,it Serie A,20-192,2002,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.20,0.00,0.20,0.20,0.20,c20892ee
707,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20-251,2002,12,5,375,4.2,0,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.5,0.5,0.8,1.3,0.12,0.19,0.31,0.12,0.31,2fba6108
708,Mikael Ellertsson,is ISL,MFDF,Spezia,it Serie A,20-298,2002,11,1,171,1.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.07,0.01,0.08,0.07,0.08,c55967eb
709,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,19-274,2003,17,12,1013,11.3,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.0,1.0,2.4,3.4,0.09,0.21,0.30,0.09,0.30,c8387671
