Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
108,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,30-259,1992,17,17,1530,17.0,11,0.65,57,46,82.5,9,7,1,9,52.9,1,1,0,0,0.0,4b40d9ca
109,Ivan Provedel,it ITA,GK,Lazio,it Serie A,28-292,1994,15,14,1343,14.9,11,0.74,48,37,79.2,8,3,3,9,64.3,1,1,0,0,0.0,277da414
110,Ghjuvanni Quilichini,fr FRA,GK,Ajaccio,fr Ligue 1,20-124,2002,1,0,82,0.9,0,0.00,4,4,100.0,0,0,0,1,,0,0,0,0,,1b729a98
111,Ionuț Radu,ro ROU,GK,Cremonese,it Serie A,25-220,1997,9,9,810,9.0,19,2.11,64,45,75.0,0,3,6,1,11.1,3,3,0,0,0.0,67f649be
112,Predrag Rajković,rs SRB,GK,Mallorca,es La Liga,27-064,1995,15,15,1350,15.0,15,1.00,53,38,79.2,5,4,6,5,33.3,4,4,0,0,0.0,58ad9383
113,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,24-234,1998,16,16,1440,16.0,14,0.87,46,33,73.9,14,1,1,7,43.8,3,2,0,1,0.0,466fb2c5
114,David Raya,es ESP,GK,Brentford,eng Premier League,27-110,1995,18,18,1620,18.0,28,1.56,105,79,74.3,6,8,4,5,27.8,1,1,0,0,0.0,98ea5115
115,Pepe Reina,es ESP,GK,Villarreal,es La Liga,40-125,1982,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,e358587b
116,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,27-285,1995,15,15,1350,15.0,17,1.13,57,39,70.2,9,2,4,5,33.3,1,0,1,0,100.0,374ee424
117,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,34-116,1988,15,15,1350,15.0,36,2.40,98,61,68.4,4,1,10,2,13.3,10,5,3,2,37.5,9f941969
118,Rémy Riou,fr FRA,GK,Lyon,fr Ligue 1,35-150,1987,4,3,331,3.7,4,1.09,12,8,83.3,2,1,0,0,0.0,2,2,0,0,0.0,7f41ee30
119,Marek Rodák,sk SVK,GK,Fulham,eng Premier League,26-021,1996,2,2,180,2.0,2,1.00,4,2,50.0,0,2,0,1,50.0,0,0,0,0,,17acc2ed
