Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,4,1,3,1,0,1,1,100.0,0,2,0,2,1,5,1,0,a6c58494
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,26,20,10,14,2,11,39,28.2,28,6,0,6,2,28,8,0,5ea9ebd4
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,46,25,18,25,3,19,48,39.6,29,17,5,12,53,99,32,0,48b28bfd
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,1,0,48b28bfd
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88,1,18abe173
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,2,246d153b
39,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25,0,9b398aea
40,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,3,2,1,2,0,3,5,60.0,2,2,1,1,4,7,1,0,9b398aea
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,2,d6192210
42,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33.0,30,18,6,18,6,7,31,22.6,24,14,5,9,11,41,54,0,462475ed
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,41,22,23,12,6,19,31,61.3,12,23,10,13,49,90,70,1,89ac64a6
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,18,14,14,4,0,10,18,55.6,8,16,3,13,19,37,33,0,f2a68b97
45,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,3,3,1,0,2,0,1,0.0,1,2,0,2,0,3,1,0,414e1f69
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23,0,eaeca114
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7,0,31f5b89b
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,38,25,13,22,3,8,27,29.6,19,24,6,18,18,56,13,0,fdf4b948
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,18,12,11,6,1,8,14,57.1,6,28,15,13,13,31,32,2,6ec6fde0
50,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,37,21,14,19,4,17,32,53.1,15,29,13,16,43,80,60,0,05439de2
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,53,33,30,16,7,29,45,64.4,16,17,2,15,21,74,38,0,5314e067
52,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,2,1,1,0,1,0,1,0.0,1,0,0,0,1,3,0,0,788be7f9
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,8,2,2,5,1,2,4,50.0,2,9,1,8,2,10,10,0,834d0be5
54,Jordi Alba,es ESP,DFFW,Barcelona,es La Liga,31,1989,33.6,45,30,22,16,7,24,52,46.2,28,21,2,19,49,94,48,0,4601e194
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,43,24,15,19,9,15,73,20.5,58,41,2,39,13,56,11,1,5294a83f
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,22,15,19,3,0,13,18,72.2,5,32,22,10,22,44,146,2,4bd414c1
57,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27,1,b827d5b3
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,6,3,1,2,3,3,7,42.9,4,8,0,8,9,15,6,0,a7a9d95a
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,8,4,6,2,0,3,5,60.0,2,19,13,6,16,24,50,0,ba71d071
60,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,61,36,20,30,11,17,49,34.7,32,26,0,26,30,91,14,0,77e84962
61,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,54,29,32,21,1,30,80,37.5,50,35,8,27,31,85,28,0,036bba5f
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,16,10,11,5,0,7,16,43.8,9,14,10,4,21,37,61,1,bb08bce9
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,35,22,22,11,2,18,30,60.0,12,40,28,12,10,45,121,0,f7d50789
64,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,14,10,8,4,2,4,23,17.4,19,14,1,13,3,17,10,0,3d7e48ce
65,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,6c811eb7
66,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,15,10,3,9,3,7,25,28.0,18,14,1,13,2,17,2,0,6c811eb7
67,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8fa8f8d2
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,56,33,31,18,7,36,56,64.3,20,24,3,21,49,105,50,3,cd1acf9d
69,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1c772b46
70,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,9,7,2,6,1,4,9,44.4,5,4,0,4,3,12,0,0,f8405304
71,Ezgjan Alioski,mk MKD,DFMF,Leeds United,eng Premier League,28,1992,27.3,74,31,38,28,8,32,74,43.2,42,17,2,15,23,97,50,2,1a7fcf39
72,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,bdedd861
73,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7,7a2e46a8
74,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,3,b052b8bf
75,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1,cc700722
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,18,11,8,6,4,7,19,36.8,12,9,0,9,7,25,3,0,cea4ee8f
77,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27.0,49,29,21,25,3,14,56,25.0,42,23,4,19,25,74,20,1,862a1c15
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,13,3,6,4,3,7,14,50.0,7,12,1,11,12,25,30,0,f4290206
79,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,42,25,13,26,3,8,22,36.4,14,22,5,17,22,64,24,2,88d91621
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,19,12,11,8,0,9,21,42.9,12,12,5,7,53,72,73,0,3ecc11d8
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,13,10,10,3,0,7,9,77.8,2,17,12,5,26,39,81,0,585a73a8
82,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,10.0,17,8,10,4,3,6,15,40.0,9,8,1,7,8,25,10,0,ad1f61f3
83,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,39,26,18,19,2,15,38,39.5,23,14,4,10,23,62,25,0,9260926b
84,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,1.3,4,2,3,1,0,1,3,33.3,2,2,1,1,1,5,1,0,d7bf3d19
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,1,0,69c5633e
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,11,7,6,4,1,8,12,66.7,4,8,4,4,12,23,26,0,1a4ef233
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,11,9,9,1,1,9,12,75.0,3,12,2,10,27,38,33,1,22721b88
88,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,8.4,7,4,1,1,5,2,12,16.7,10,2,0,2,2,9,4,0,2945f4b7
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,35b4bc62
90,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,12,7,4,8,0,7,33,21.2,26,18,3,15,12,24,7,0,555d5edd
91,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,57,36,31,24,2,20,46,43.5,26,40,19,21,49,106,87,3,10b9fa99
92,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,39,22,11,24,4,18,48,37.5,30,30,5,25,23,62,12,0,5a2cb25d
93,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,18,10,8,7,3,10,26,38.5,16,12,4,8,14,32,13,0,c46736ab
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,33,19,18,11,4,15,28,53.6,13,24,13,11,44,77,151,1,e34fc66d
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,2,1,1,1,0,2,2,100.0,0,1,1,0,2,4,6,0,e34fc66d
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,ca241ad3
97,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,de31038e
98,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0.0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,9f1893b9
99,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,3,2,0,3,0,1,8,12.5,7,10,3,7,2,5,9,0,b4cf5806
100,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,326d09ef
101,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,114,68,47,61,6,53,122,43.4,69,39,10,29,76,190,49,0,ef9c1c95
102,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,51,24,22,27,2,24,53,45.3,29,40,6,34,51,102,31,2,e0b113a7
103,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,36,24,17,15,4,17,42,40.5,25,17,4,13,19,55,9,1,d8992b84
104,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,b1e5bbec
105,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,15,8,9,4,2,8,12,66.7,4,7,0,7,13,28,17,1,3024e383
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,0,0,0,0,0,0,,0,2,2,0,3,3,11,0,56cafd0a
107,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24.0,31,19,10,18,3,13,24,54.2,11,22,1,21,30,61,40,0,30941e96
108,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0e0e4422
109,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,f5409698
110,Cristian Ansaldi,ar ARG,DFFW,Torino,it Serie A,33,1986,21.6,48,33,25,14,9,24,38,63.2,14,21,7,14,16,64,38,0,bbafc0c4
111,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,31,20,17,14,0,12,31,38.7,19,28,18,10,47,78,114,0,5e66fa06
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,1990,21.9,7,4,1,5,1,1,7,14.3,6,20,3,17,7,14,7,0,ac05f970
113,José Antonio Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,683788fd
114,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,4,2,3,1,0,3,10,30.0,7,6,5,1,4,8,13,0,8f68aa41
115,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,17,12,0,13,4,8,25,32.0,17,17,1,16,17,34,4,0,a5db0bec
116,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,38,20,12,17,9,13,49,26.5,36,15,1,14,10,48,6,0,b94b8be1
117,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,55,34,33,15,7,32,59,54.2,27,23,6,17,25,80,43,0,feb5d3ab
118,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,f28876e5
