Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,-9999
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,a7e4760c
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,30,1.52,27,2,1,0,0,0,3,0.15,2,1,0,0,0,0,5f09991f
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2590ddf7
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,17,0.53,15,0,0,2,0,0,0,0.00,0,0,0,0,0,0,32c2d95f
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,9f9e1b9c
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,31,2.11,18,5,3,1,2,2,1,0.07,1,0,0,0,0,0,a4c3f7af
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,59,1.79,45,0,3,6,4,1,9,0.27,6,0,1,1,1,0,31626657
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,14,1.38,11,0,2,0,1,0,3,0.30,2,0,1,0,0,0,469d3d84
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0e46fa2f
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,9,0.64,5,1,0,2,1,0,0,0.00,0,0,0,0,0,0,8bc373ea
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,5,0.37,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,565bf0da
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0,f586779e
13,Amir Abrashi,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1c08a3c8
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,8,1.63,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,01040647
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,31,0.99,26,1,0,2,0,2,5,0.16,5,0,0,0,0,0,b96b595c
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,dc38e3bc
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,67,2.59,46,12,6,2,0,1,8,0.31,5,2,0,1,0,0,81442ecb
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,68,2.29,50,0,2,7,9,0,7,0.24,6,0,0,0,1,0,f2bf1b0f
19,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,21,1999,20.6,36,1.75,31,0,0,0,3,2,3,0.15,2,0,0,0,0,1,2b09d998
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,22,4.12,15,1,2,2,2,0,6,1.12,4,0,0,2,0,0,22919e97
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,18,0.55,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0,c81d773d
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3ed84b2c
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,104,3.87,78,10,8,2,3,3,10,0.37,7,1,0,1,1,0,26777636
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,7005ac66
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,f76e6b4e
26,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,17.3,28,1.62,16,9,0,0,3,0,3,0.17,2,1,0,0,0,0,355c883a
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,7,0.79,7,0,0,0,0,0,2,0.23,2,0,0,0,0,0,8bc8829a
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,8,1.03,4,1,1,0,2,0,0,0.00,0,0,0,0,0,0,cb6d81b3
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,38,2.52,19,1,3,8,4,3,7,0.46,5,1,0,1,0,0,46fa7204
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,20,0.57,17,0,0,3,0,0,1,0.03,1,0,0,0,0,0,288e1e13
31,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,6.2,17,2.74,12,0,3,1,0,1,3,0.48,2,0,1,0,0,0,4d034881
