Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,-9999
32,Ruben Aguilar,fr FRA,DFMF,Monaco,fr Ligue 1,27,1993,24.7,79,3.19,57,10,2,1,7,2,7,0.28,4,1,1,0,1,0,3dd738a1
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,2,0.71,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,a6c58494
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,12,1.20,9,0,0,0,2,1,0,0.00,0,0,0,0,0,0,5ea9ebd4
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,33,1.38,25,0,1,2,3,2,4,0.17,2,0,0,1,0,1,48b28bfd
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,1,2.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,48b28bfd
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,10,0.70,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0,18abe173
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,27,0.91,23,3,0,0,1,0,4,0.14,4,0,0,0,0,0,246d153b
39,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,32,2.05,21,4,6,0,1,0,1,0.06,1,0,0,0,0,0,9b398aea
40,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,10,4.84,8,0,2,0,0,0,2,0.97,1,0,1,0,0,0,9b398aea
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,14,0.45,13,0,1,0,0,0,2,0.06,2,0,0,0,0,0,d6192210
42,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33.0,76,2.31,54,0,1,12,9,0,8,0.24,4,0,1,1,2,0,462475ed
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,22,0.84,16,1,0,3,1,1,2,0.08,2,0,0,0,0,0,89ac64a6
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,7,0.73,4,2,1,0,0,0,0,0.00,0,0,0,0,0,0,f2a68b97
45,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,2,1.23,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,414e1f69
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,5,0.56,4,0,0,0,1,0,1,0.11,1,0,0,0,0,0,eaeca114
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,6,1.43,5,0,0,0,0,1,1,0.24,1,0,0,0,0,0,31f5b89b
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,19,1.62,16,0,1,0,0,2,1,0.09,1,0,0,0,0,0,fdf4b948
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,7,0.53,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,6ec6fde0
50,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,60,2.02,55,1,0,3,0,1,7,0.24,6,1,0,0,0,0,05439de2
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,20,1.20,14,2,2,0,2,0,3,0.18,2,0,0,0,1,0,5314e067
52,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,788be7f9
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,30,2.17,22,0,2,3,3,0,3,0.22,2,0,0,1,0,0,834d0be5
54,Jordi Alba,es ESP,DFFW,Barcelona,es La Liga,31,1989,33.6,96,2.86,93,2,1,0,0,0,9,0.27,8,0,1,0,0,0,4601e194
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,158,5.43,119,25,7,4,2,1,7,0.24,6,0,1,0,0,0,5294a83f
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,18,0.52,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0,4bd414c1
57,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,77,3.97,59,5,5,2,3,3,12,0.62,8,2,0,1,0,1,b827d5b3
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,27,1.57,20,1,3,2,1,0,9,0.52,6,0,2,1,0,0,a7a9d95a
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ba71d071
60,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,81,3.93,69,2,2,3,3,2,3,0.15,2,0,0,1,0,0,77e84962
61,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,27,1.12,23,0,0,1,3,0,2,0.08,2,0,0,0,0,0,036bba5f
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,7,0.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,bb08bce9
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,22,0.88,19,0,0,3,0,0,3,0.12,3,0,0,0,0,0,f7d50789
64,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,21,2.29,17,1,1,1,1,0,2,0.22,1,0,0,1,0,0,3d7e48ce
65,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6c811eb7
66,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,65,4.28,31,15,6,7,6,0,3,0.20,2,0,1,0,0,0,6c811eb7
67,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,8fa8f8d2
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,130,3.86,83,34,6,7,0,0,12,0.36,7,2,1,2,0,0,cd1acf9d
69,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1c772b46
70,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,4,1.04,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,f8405304
71,Ezgjan Alioski,mk MKD,DFMF,Leeds United,eng Premier League,28,1992,27.3,71,2.60,57,5,0,5,3,1,5,0.18,3,1,0,1,0,0,1a7fcf39
72,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,bdedd861
73,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,5,0.15,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,7a2e46a8
74,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,b052b8bf
75,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,39,1.71,33,1,4,1,0,0,2,0.09,2,0,0,0,0,0,cc700722
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,22,3.19,19,0,0,1,1,1,0,0.00,0,0,0,0,0,0,cea4ee8f
77,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27.0,76,2.82,54,3,8,4,5,2,6,0.22,4,0,0,1,0,1,862a1c15
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,36,3.38,29,2,0,5,0,0,3,0.28,2,0,0,1,0,0,f4290206
79,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,19,1.09,18,0,0,0,1,0,0,0.00,0,0,0,0,0,0,88d91621
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,12,0.55,10,1,0,1,0,0,0,0.00,0,0,0,0,0,0,3ecc11d8
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,9,0.50,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0,585a73a8
82,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,10.0,24,2.41,20,0,1,3,0,0,1,0.10,1,0,0,0,0,0,ad1f61f3
83,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,25,1.50,22,0,0,2,0,1,4,0.24,3,0,0,1,0,0,9260926b
84,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,1.3,2,1.55,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,d7bf3d19
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,69c5633e
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1a4ef233
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,17,1.88,8,1,1,1,6,0,4,0.44,2,0,0,0,2,0,22721b88
88,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,8.4,25,2.98,19,1,2,1,2,0,2,0.24,2,0,0,0,0,0,2945f4b7
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,1,45.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,35b4bc62
90,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,80,3.81,57,13,4,6,0,0,10,0.48,8,1,1,0,0,0,555d5edd
91,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,20,0.86,17,2,0,0,1,0,0,0.00,0,0,0,0,0,0,10b9fa99
92,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,36,1.33,35,0,0,1,0,0,1,0.04,1,0,0,0,0,0,5a2cb25d
93,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,10,1.13,9,0,0,0,1,0,2,0.23,1,0,0,0,1,0,c46736ab
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,30,0.99,28,0,0,1,1,0,3,0.10,3,0,0,0,0,0,e34fc66d
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,e34fc66d
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ca241ad3
97,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,de31038e
98,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,9f1893b9
99,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,14,1.12,10,0,0,3,1,0,3,0.24,1,0,0,1,1,0,b4cf5806
100,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,326d09ef
101,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,63,1.97,55,0,3,1,4,0,5,0.16,4,0,0,0,1,0,ef9c1c95
102,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,56,2.00,49,0,3,2,1,1,7,0.25,7,0,0,0,0,0,e0b113a7
103,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,25,1.35,22,1,0,0,2,0,1,0.05,1,0,0,0,0,0,d8992b84
104,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,b1e5bbec
105,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,20,2.00,16,3,1,0,0,0,0,0.00,0,0,0,0,0,0,3024e383
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,56cafd0a
107,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24.0,95,3.96,64,14,6,6,3,2,9,0.37,5,1,1,1,1,0,30941e96
108,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0e0e4422
109,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,f5409698
110,Cristian Ansaldi,ar ARG,DFFW,Torino,it Serie A,33,1986,21.6,72,3.33,43,15,5,4,3,2,8,0.37,7,0,1,0,0,0,bbafc0c4
111,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,31,1.03,26,0,0,2,1,2,5,0.17,4,0,0,0,1,0,5e66fa06
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,1990,21.9,75,3.42,41,1,10,8,15,0,11,0.50,5,1,0,2,3,0,ac05f970
113,José Antonio Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,683788fd
114,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,8f68aa41
115,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,105,5.30,73,2,13,7,7,3,12,0.61,7,0,1,3,1,0,a5db0bec
116,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,95,4.93,51,33,1,2,8,0,8,0.42,5,3,0,0,0,0,b94b8be1
117,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,32,1.85,28,0,1,0,0,3,5,0.29,5,0,0,0,0,0,feb5d3ab
118,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,f28876e5
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,62,1.87,36,11,3,5,7,0,3,0.09,2,0,0,1,0,0,58afe001
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,36,1.94,33,0,1,0,0,2,1,0.05,1,0,0,0,0,0,56413b1f
121,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,53,3.19,40,0,9,3,1,0,4,0.24,4,0,0,0,0,0,fa18c72e
122,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,10,0.37,10,0,0,0,0,0,1,0.04,1,0,0,0,0,0,27a013f7
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,8,0.48,5,0,0,1,1,1,1,0.06,0,0,0,1,0,0,2bef2bca
124,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,44,1.41,31,3,4,2,2,2,4,0.13,2,0,1,1,0,0,850c0a0d
125,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,2,0.06,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2f965a72
126,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,fdd60087
127,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,6,1.83,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,08534272
128,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,74d9a90b
129,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2f7407fa
130,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,91,2.96,64,3,7,6,8,3,15,0.49,7,0,2,3,2,1,97333cf5
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,108,3.76,48,42,2,6,10,0,12,0.42,5,4,1,0,2,0,86e119e0
132,Toluwalas Arokodare,ng NGA,FWMF,Köln,de Bundesliga,19,2000,1.2,4,3.21,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,a42760bc
133,Sergio Arribas,es ESP,MFFW,Real Madrid,es La Liga,18,2001,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0,1e465e70
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,3,0.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,28d596a0
135,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,35,1.73,26,1,2,1,4,1,2,0.10,1,0,1,0,0,0,963a328b
136,Kwadwo Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,2.5,3,1.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,089550f5
137,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,14,1.66,10,0,1,1,1,1,1,0.12,0,0,0,1,0,0,e26fcca3
138,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0,9f0ea33f
139,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,20.8,67,3.23,48,9,4,3,3,0,8,0.39,5,1,1,1,0,0,45af8a54
140,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,a69cc629
141,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,119,3.74,92,4,12,7,4,0,26,0.82,19,1,4,1,1,0,7dcf86f6
142,Roger Assalé,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,9.2,9,0.98,4,0,2,1,2,0,3,0.33,1,0,0,1,1,0,5d5219b1
143,Youcef Atal,dz ALG,DFFW,Nice,fr Ligue 1,24,1996,10.6,23,2.17,16,1,4,0,2,0,1,0.09,1,0,0,0,0,0,6a827d8e
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,6,0.64,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,12eda7be
145,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,48,1.85,40,0,3,2,3,0,7,0.27,6,0,1,0,0,0,d5dd5f1f
146,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37.0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0,649b01d8
147,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,56,1.57,49,3,3,1,0,0,5,0.14,5,0,0,0,0,0,3cd3b384
148,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,97bfa797
149,Ludwig Augustinsson,se SWE,DFFW,Werder Bremen,de Bundesliga,26,1994,21.7,68,3.13,37,26,1,2,1,1,7,0.32,3,4,0,0,0,0,9fec8860
150,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,38,2.13,26,1,4,4,1,2,5,0.28,3,1,1,0,0,0,5c2b4f07
151,Charlie Austin,eng ENG,FWMF,West Brom,eng Premier League,31,1989,1.5,1,0.66,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,8d228291
152,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,26,1994,2.2,3,1.34,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,253a06b9
153,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,15.1,36,2.39,26,1,2,2,5,0,7,0.46,3,1,1,0,2,0,e5478b87
154,Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,5.6,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,fe46e261
155,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,28,1991,23.3,39,1.67,26,0,2,5,6,0,7,0.30,5,0,0,1,1,0,da052c14
156,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,8.8,4,0.45,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2200181e
157,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,37.8,52,1.38,43,2,3,1,3,0,4,0.11,4,0,0,0,0,0,420d7c7d
158,Ramon Azeez,ng NGA,MF,Granada,es La Liga,27,1992,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0cc474e7
159,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,24.3,50,2.06,45,2,0,1,1,1,6,0.25,5,0,0,1,0,0,53cad200
160,Ludovic Baal,gf GUF,DFMF,Brest,fr Ligue 1,34,1986,3.3,5,1.53,5,0,0,0,0,0,1,0.31,1,0,0,0,0,0,d3ce9f1f
161,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,1986,8.7,13,1.49,8,0,3,1,0,1,2,0.23,1,0,1,0,0,0,09a9e921
