Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,-9999
173,Leon Balogun,ng NGA,DF,Brighton,eng Premier League,30,1988,6.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,78e68b4d
174,Mario Balotelli,it ITA,FW,Nice,fr Ligue 1,27,1990,8.4,16,1.91,13,0,0,0,3,0,2,0.24,2,0,0,0,0,0,8ff07990
175,Mario Balotelli,it ITA,FW,Marseille,fr Ligue 1,27,1990,10.4,32,3.09,20,0,2,5,5,0,4,0.39,3,0,0,1,0,0,8ff07990
176,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,28,1990,28.6,31,1.08,27,3,0,0,0,1,4,0.14,4,0,0,0,0,0,7fecbcdb
177,Jonathan Bamba,fr FRA,FWMF,Lille,fr Ligue 1,22,1996,33.4,102,3.06,83,2,7,4,6,0,9,0.27,6,0,1,1,1,0,b2bd0f6c
178,Sol Bamba,ci CIV,DF,Cardiff City,eng Premier League,33,1985,27.5,18,0.65,10,1,1,5,1,0,2,0.07,2,0,0,0,0,0,5534217d
179,Yacine Bammou,ma MAR,FWMF,Caen,fr Ligue 1,26,1991,10.3,19,1.85,17,0,1,1,0,0,1,0.10,1,0,0,0,0,0,a1d04509
180,Éver Banega,ar ARG,MF,Sevilla,es La Liga,30,1988,29.6,136,4.59,99,24,5,3,3,2,11,0.37,9,2,0,0,0,0,fa937f7a
181,Mattia Bani,it ITA,DF,Chievo,it Serie A,24,1993,29.0,14,0.48,12,0,0,1,0,1,0,0.00,0,0,0,0,0,0,0821331c
182,Léo Baptistão,br BRA,FWMF,Espanyol,es La Liga,25,1992,13.7,40,2.92,26,0,4,6,2,2,2,0.15,2,0,0,0,0,0,35f6db55
183,Antonín Barák,cz CZE,MFFW,Udinese,it Serie A,23,1994,3.7,5,1.37,4,1,0,0,0,0,1,0.27,0,1,0,0,0,0,01efac19
184,Federico Barba,it ITA,DF,Chievo,it Serie A,24,1993,27.6,25,0.91,19,2,1,2,0,1,1,0.04,1,0,0,0,0,0,c010b898
185,Danilo Barbosa,br BRA,MF,Nice,fr Ligue 1,22,1996,17.2,41,2.38,23,0,5,4,7,2,1,0.06,0,0,0,0,1,0,0557ff4f
186,Enis Bardhi,mk MKD,MF,Levante,es La Liga,23,1995,31.5,84,2.67,63,6,6,4,4,1,9,0.29,7,1,1,0,0,0,cac2537b
187,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0acda699
188,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,33,1985,18.6,20,1.08,16,2,1,0,1,0,0,0.00,0,0,0,0,0,0,1ae30132
189,Nicolò Barella,it ITA,MF,Cagliari,it Serie A,21,1997,34.5,114,3.30,89,7,3,5,7,3,9,0.26,7,0,0,1,0,1,6928979a
190,Philipp Bargfrede,de GER,MFDF,Werder Bremen,de Bundesliga,29,1989,12.0,13,1.08,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3f7cd8f1
191,Antonino Barillà,it ITA,MF,Parma,it Serie A,30,1988,29.1,47,1.62,35,2,1,2,4,3,4,0.14,3,0,1,0,0,0,a64cbd35
192,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,24,1993,13.8,55,3.98,43,0,3,4,2,3,9,0.65,7,0,0,1,0,1,3a24769f
193,Aymen Barkok,ma MAR,MF,Düsseldorf,de Bundesliga,20,1998,5.7,7,1.23,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,a2a85828
